celebrity_name             , ballroom_partner                        , celebrity_industry      , celebrity_homestate, celebrity_homecountry/region, celebrity_age_during_season, season, results           , placement, week, judge_total       , active, n_active, elim_week_official, elim_after_week
John O'Hurley              , Charlotte Jorgensen                     , Actor/Actress           , Maine              , United States               ,                          50,      1, 2nd Place         ,         2,    4, 21.0              , True  ,        4,                   , False
Kelly Monaco               , Alec Mazo                               , Actor/Actress           , Pennsylvania       , United States               ,                          29,      1, 1st Place         ,         1,    4, 26.0              , True  ,        4,                   , False
Rachel Hunter              , Jonathan Roberts                        , Model                   ,                    , New Zealand                 ,                          35,      1, Eliminated Week 4 ,         4,    4, 25.0              , True  ,        4,                4.0, True
Trista Sutter              , Louis van Amstel                        , TV Personality          , Indiana            , United States               ,                          32,      1, Eliminated Week 2 ,         6,    4,  0.0              , False ,        4,                2.0, False
Evander Holyfield          , Edyta Sliwinska                         , Athlete                 , Alabama            , United States               ,                          42,      1, Eliminated Week 3 ,         5,    5,  0.0              , False ,        3,                3.0, False
Joey McIntyre              , Ashly DelGrosso                         , Singer/Rapper           , Massachusetts      , United States               ,                          32,      1, 3rd Place         ,         3,    5, 22.5              , True  ,        3,                   , False
John O'Hurley              , Charlotte Jorgensen                     , Actor/Actress           , Maine              , United States               ,                          50,      1, 2nd Place         ,         2,    5, 27.0              , True  ,        3,                   , False
Kelly Monaco               , Alec Mazo                               , Actor/Actress           , Pennsylvania       , United States               ,                          29,      1, 1st Place         ,         1,    5, 23.5              , True  ,        3,                   , False
Rachel Hunter              , Jonathan Roberts                        , Model                   ,                    , New Zealand                 ,                          35,      1, Eliminated Week 4 ,         4,    5,  0.0              , False ,        3,                4.0, False
Trista Sutter              , Louis van Amstel                        , TV Personality          , Indiana            , United States               ,                          32,      1, Eliminated Week 2 ,         6,    5,  0.0              , False ,        3,                2.0, False
Evander Holyfield          , Edyta Sliwinska                         , Athlete                 , Alabama            , United States               ,                          42,      1, Eliminated Week 3 ,         5,    6,  0.0              , False ,        2,                3.0, False
Joey McIntyre              , Ashly DelGrosso                         , Singer/Rapper           , Massachusetts      , United States               ,                          32,      1, 3rd Place         ,         3,    6,  0.0              , False ,        2,                   , False
John O'Hurley              , Charlotte Jorgensen                     , Actor/Actress           , Maine              , United States               ,                          50,      1, 2nd Place         ,         2,    6, 27.0              , True  ,        2,                   , False
Kelly Monaco               , Alec Mazo                               , Actor/Actress           , Pennsylvania       , United States               ,                          29,      1, 1st Place         ,         1,    6, 27.5              , True  ,        2,                   , False
Rachel Hunter              , Jonathan Roberts                        , Model                   ,                    , New Zealand                 ,                          35,      1, Eliminated Week 4 ,         4,    6,  0.0              , False ,        2,                4.0, False
Trista Sutter              , Louis van Amstel                        , TV Personality          , Indiana            , United States               ,                          32,      1, Eliminated Week 2 ,         6,    6,  0.0              , False ,        2,                2.0, False
Drew Lachey                , Cheryl Burke                            , Singer/Rapper           , Ohio               , United States               ,                          29,      2, 1st Place         ,         1,    1, 24.0              , True  ,       10,                   , False
George Hamilton            , Edyta Sliwinska                         , Actor/Actress           , Tennessee          , United States               ,                          66,      2, Eliminated Week 6 ,         5,    1, 18.0              , True  ,       10,                6.0, False
Giselle Fernandez          , Jonathan Roberts                        , News Anchor             ,                    , Mexico                      ,                          44,      2, Eliminated Week 3 ,         8,    1, 23.0              , True  ,       10,                3.0, False
Jerry Rice                 , Anna Trebunskaya                        , Athlete                 , Mississippi        , United States               ,                          43,      2, 2nd Place         ,         2,    1, 21.0              , True  ,       10,                   , False
Kenny Mayne                , Andrea Hale                             , Sports Broadcaster      , Washington         , United States               ,                          46,      2, Eliminated Week 1 ,        10,    1, 13.0              , True  ,       10,                1.0, True
Lisa Rinna                 , Louis van Amstel                        , Actor/Actress           , California         , United States               ,                          42,      2, Eliminated Week 7 ,         4,    1, 19.0              , True  ,       10,                7.0, False
Master P                   , Ashly DelGrosso                         , Singer/Rapper           , Louisiana          , United States               ,                          35,      2, Eliminated Week 4 ,         7,    1, 12.0              , True  ,       10,                4.0, False
Stacy Keibler              , Tony Dovolani                           , Athlete                 , Maryland           , United States               ,                          26,      2, 3rd Place         ,         3,    1, 22.0              , True  ,       10,                   , False
Tatum O'Neal               , Nick Kosovich                           , Actor/Actress           , California         , United States               ,                          42,      2, Eliminated Week 2 ,         9,    1, 23.0              , True  ,       10,                2.0, False
Tia Carrere                , Maksim Chmerkoskiy                      , Actor/Actress           , Hawaii             , United States               ,                          39,      2, Eliminated Week 5 ,         6,    1, 20.0              , True  ,       10,                5.0, False
Drew Lachey                , Cheryl Burke                            , Singer/Rapper           , Ohio               , United States               ,                          29,      2, 1st Place         ,         1,    2, 27.0              , True  ,        9,                   , False
George Hamilton            , Edyta Sliwinska                         , Actor/Actress           , Tennessee          , United States               ,                          66,      2, Eliminated Week 6 ,         5,    2, 22.0              , True  ,        9,                6.0, False
Giselle Fernandez          , Jonathan Roberts                        , News Anchor             ,                    , Mexico                      ,                          44,      2, Eliminated Week 3 ,         8,    2, 24.0              , True  ,        9,                3.0, False
Jerry Rice                 , Anna Trebunskaya                        , Athlete                 , Mississippi        , United States               ,                          43,      2, 2nd Place         ,         2,    2, 23.0              , True  ,        9,                   , False
Kenny Mayne                , Andrea Hale                             , Sports Broadcaster      , Washington         , United States               ,                          46,      2, Eliminated Week 1 ,        10,    2,  0.0              , False ,        9,                1.0, False
Lisa Rinna                 , Louis van Amstel                        , Actor/Actress           , California         , United States               ,                          42,      2, Eliminated Week 7 ,         4,    2, 20.0              , True  ,        9,                7.0, False
Master P                   , Ashly DelGrosso                         , Singer/Rapper           , Louisiana          , United States               ,                          35,      2, Eliminated Week 4 ,         7,    2, 16.0              , True  ,        9,                4.0, False
Stacy Keibler              , Tony Dovolani                           , Athlete                 , Maryland           , United States               ,                          26,      2, 3rd Place         ,         3,    2, 29.0              , True  ,        9,                   , False
Tatum O'Neal               , Nick Kosovich                           , Actor/Actress           , California         , United States               ,                          42,      2, Eliminated Week 2 ,         9,    2, 17.0              , True  ,        9,                2.0, True
Tia Carrere                , Maksim Chmerkoskiy                      , Actor/Actress           , Hawaii             , United States               ,                          39,      2, Eliminated Week 5 ,         6,    2, 22.0              , True  ,        9,                5.0, False
Drew Lachey                , Cheryl Burke                            , Singer/Rapper           , Ohio               , United States               ,                          29,      2, 1st Place         ,         1,    3, 27.0              , True  ,        8,                   , False
George Hamilton            , Edyta Sliwinska                         , Actor/Actress           , Tennessee          , United States               ,                          66,      2, Eliminated Week 6 ,         5,    3, 22.0              , True  ,        8,                6.0, False
Giselle Fernandez          , Jonathan Roberts                        , News Anchor             ,                    , Mexico                      ,                          44,      2, Eliminated Week 3 ,         8,    3, 22.0              , True  ,        8,                3.0, True
Jerry Rice                 , Anna Trebunskaya                        , Athlete                 , Mississippi        , United States               ,                          43,      2, 2nd Place         ,         2,    3, 19.0              , True  ,        8,                   , False
Kenny Mayne                , Andrea Hale                             , Sports Broadcaster      , Washington         , United States               ,                          46,      2, Eliminated Week 1 ,        10,    3,  0.0              , False ,        8,                1.0, False
Lisa Rinna                 , Louis van Amstel                        , Actor/Actress           , California         , United States               ,                          42,      2, Eliminated Week 7 ,         4,    3, 25.0              , True  ,        8,                7.0, False
Master P                   , Ashly DelGrosso                         , Singer/Rapper           , Louisiana          , United States               ,                          35,      2, Eliminated Week 4 ,         7,    3, 14.0              , True  ,        8,                4.0, False
Stacy Keibler              , Tony Dovolani                           , Athlete                 , Maryland           , United States               ,                          26,      2, 3rd Place         ,         3,    3, 27.0              , True  ,        8,                   , False
Tatum O'Neal               , Nick Kosovich                           , Actor/Actress           , California         , United States               ,                          42,      2, Eliminated Week 2 ,         9,    3,  0.0              , False ,        8,                2.0, False
Tia Carrere                , Maksim Chmerkoskiy                      , Actor/Actress           , Hawaii             , United States               ,                          39,      2, Eliminated Week 5 ,         6,    3, 26.0              , True  ,        8,                5.0, False
Drew Lachey                , Cheryl Burke                            , Singer/Rapper           , Ohio               , United States               ,                          29,      2, 1st Place         ,         1,    4, 28.0              , True  ,        7,                   , False
George Hamilton            , Edyta Sliwinska                         , Actor/Actress           , Tennessee          , United States               ,                          66,      2, Eliminated Week 6 ,         5,    4, 21.0              , True  ,        7,                6.0, False
Giselle Fernandez          , Jonathan Roberts                        , News Anchor             ,                    , Mexico                      ,                          44,      2, Eliminated Week 3 ,         8,    4,  0.0              , False ,        7,                3.0, False
Jerry Rice                 , Anna Trebunskaya                        , Athlete                 , Mississippi        , United States               ,                          43,      2, 2nd Place         ,         2,    4, 24.0              , True  ,        7,                   , False
Kenny Mayne                , Andrea Hale                             , Sports Broadcaster      , Washington         , United States               ,                          46,      2, Eliminated Week 1 ,        10,    4,  0.0              , False ,        7,                1.0, False
Lisa Rinna                 , Louis van Amstel                        , Actor/Actress           , California         , United States               ,                          42,      2, Eliminated Week 7 ,         4,    4, 26.0              , True  ,        7,                7.0, False
Master P                   , Ashly DelGrosso                         , Singer/Rapper           , Louisiana          , United States               ,                          35,      2, Eliminated Week 4 ,         7,    4,  8.0              , True  ,        7,                4.0, True
Stacy Keibler              , Tony Dovolani                           , Athlete                 , Maryland           , United States               ,                          26,      2, 3rd Place         ,         3,    4, 26.0              , True  ,        7,                   , False
Tatum O'Neal               , Nick Kosovich                           , Actor/Actress           , California         , United States               ,                          42,      2, Eliminated Week 2 ,         9,    4,  0.0              , False ,        7,                2.0, False
Tia Carrere                , Maksim Chmerkoskiy                      , Actor/Actress           , Hawaii             , United States               ,                          39,      2, Eliminated Week 5 ,         6,    4, 25.0              , True  ,        7,                5.0, False
Drew Lachey                , Cheryl Burke                            , Singer/Rapper           , Ohio               , United States               ,                          29,      2, 1st Place         ,         1,    5, 27.0              , True  ,        6,                   , False
George Hamilton            , Edyta Sliwinska                         , Actor/Actress           , Tennessee          , United States               ,                          66,      2, Eliminated Week 6 ,         5,    5, 24.0              , True  ,        6,                6.0, False
Giselle Fernandez          , Jonathan Roberts                        , News Anchor             ,                    , Mexico                      ,                          44,      2, Eliminated Week 3 ,         8,    5,  0.0              , False ,        6,                3.0, False
Jerry Rice                 , Anna Trebunskaya                        , Athlete                 , Mississippi        , United States               ,                          43,      2, 2nd Place         ,         2,    5, 23.0              , True  ,        6,                   , False
Kenny Mayne                , Andrea Hale                             , Sports Broadcaster      , Washington         , United States               ,                          46,      2, Eliminated Week 1 ,        10,    5,  0.0              , False ,        6,                1.0, False
Lisa Rinna                 , Louis van Amstel                        , Actor/Actress           , California         , United States               ,                          42,      2, Eliminated Week 7 ,         4,    5, 25.0              , True  ,        6,                7.0, False
Master P                   , Ashly DelGrosso                         , Singer/Rapper           , Louisiana          , United States               ,                          35,      2, Eliminated Week 4 ,         7,    5,  0.0              , False ,        6,                4.0, False
Stacy Keibler              , Tony Dovolani                           , Athlete                 , Maryland           , United States               ,                          26,      2, 3rd Place         ,         3,    5, 30.0              , True  ,        6,                   , False
Tatum O'Neal               , Nick Kosovich                           , Actor/Actress           , California         , United States               ,                          42,      2, Eliminated Week 2 ,         9,    5,  0.0              , False ,        6,                2.0, False
Tia Carrere                , Maksim Chmerkoskiy                      , Actor/Actress           , Hawaii             , United States               ,                          39,      2, Eliminated Week 5 ,         6,    5, 22.0              , True  ,        6,                5.0, True
Drew Lachey                , Cheryl Burke                            , Singer/Rapper           , Ohio               , United States               ,                          29,      2, 1st Place         ,         1,    6, 30.0              , True  ,        5,                   , False
George Hamilton            , Edyta Sliwinska                         , Actor/Actress           , Tennessee          , United States               ,                          66,      2, Eliminated Week 6 ,         5,    6, 23.0              , True  ,        5,                6.0, True
Giselle Fernandez          , Jonathan Roberts                        , News Anchor             ,                    , Mexico                      ,                          44,      2, Eliminated Week 3 ,         8,    6,  0.0              , False ,        5,                3.0, False
Jerry Rice                 , Anna Trebunskaya                        , Athlete                 , Mississippi        , United States               ,                          43,      2, 2nd Place         ,         2,    6, 23.0              , True  ,        5,                   , False
Kenny Mayne                , Andrea Hale                             , Sports Broadcaster      , Washington         , United States               ,                          46,      2, Eliminated Week 1 ,        10,    6,  0.0              , False ,        5,                1.0, False
Lisa Rinna                 , Louis van Amstel                        , Actor/Actress           , California         , United States               ,                          42,      2, Eliminated Week 7 ,         4,    6, 27.0              , True  ,        5,                7.0, False
Master P                   , Ashly DelGrosso                         , Singer/Rapper           , Louisiana          , United States               ,                          35,      2, Eliminated Week 4 ,         7,    6,  0.0              , False ,        5,                4.0, False
Stacy Keibler              , Tony Dovolani                           , Athlete                 , Maryland           , United States               ,                          26,      2, 3rd Place         ,         3,    6, 30.0              , True  ,        5,                   , False
Tatum O'Neal               , Nick Kosovich                           , Actor/Actress           , California         , United States               ,                          42,      2, Eliminated Week 2 ,         9,    6,  0.0              , False ,        5,                2.0, False
Tia Carrere                , Maksim Chmerkoskiy                      , Actor/Actress           , Hawaii             , United States               ,                          39,      2, Eliminated Week 5 ,         6,    6,  0.0              , False ,        5,                5.0, False
Drew Lachey                , Cheryl Burke                            , Singer/Rapper           , Ohio               , United States               ,                          29,      2, 1st Place         ,         1,    7, 27.5              , True  ,        4,                   , False
George Hamilton            , Edyta Sliwinska                         , Actor/Actress           , Tennessee          , United States               ,                          66,      2, Eliminated Week 6 ,         5,    7,  0.0              , False ,        4,                6.0, False
Giselle Fernandez          , Jonathan Roberts                        , News Anchor             ,                    , Mexico                      ,                          44,      2, Eliminated Week 3 ,         8,    7,  0.0              , False ,        4,                3.0, False
Jerry Rice                 , Anna Trebunskaya                        , Athlete                 , Mississippi        , United States               ,                          43,      2, 2nd Place         ,         2,    7, 20.5              , True  ,        4,                   , False
Kenny Mayne                , Andrea Hale                             , Sports Broadcaster      , Washington         , United States               ,                          46,      2, Eliminated Week 1 ,        10,    7,  0.0              , False ,        4,                1.0, False
Lisa Rinna                 , Louis van Amstel                        , Actor/Actress           , California         , United States               ,                          42,      2, Eliminated Week 7 ,         4,    7, 26.5              , True  ,        4,                7.0, True
Master P                   , Ashly DelGrosso                         , Singer/Rapper           , Louisiana          , United States               ,                          35,      2, Eliminated Week 4 ,         7,    7,  0.0              , False ,        4,                4.0, False
Stacy Keibler              , Tony Dovolani                           , Athlete                 , Maryland           , United States               ,                          26,      2, 3rd Place         ,         3,    7, 27.5              , True  ,        4,                   , False
Tatum O'Neal               , Nick Kosovich                           , Actor/Actress           , California         , United States               ,                          42,      2, Eliminated Week 2 ,         9,    7,  0.0              , False ,        4,                2.0, False
Tia Carrere                , Maksim Chmerkoskiy                      , Actor/Actress           , Hawaii             , United States               ,                          39,      2, Eliminated Week 5 ,         6,    7,  0.0              , False ,        4,                5.0, False
Drew Lachey                , Cheryl Burke                            , Singer/Rapper           , Ohio               , United States               ,                          29,      2, 1st Place         ,         1,    8, 28.9998           , True  ,        3,                   , False
George Hamilton            , Edyta Sliwinska                         , Actor/Actress           , Tennessee          , United States               ,                          66,      2, Eliminated Week 6 ,         5,    8,  0.0              , False ,        3,                6.0, False
Giselle Fernandez          , Jonathan Roberts                        , News Anchor             ,                    , Mexico                      ,                          44,      2, Eliminated Week 3 ,         8,    8,  0.0              , False ,        3,                3.0, False
Jerry Rice                 , Anna Trebunskaya                        , Athlete                 , Mississippi        , United States               ,                          43,      2, 2nd Place         ,         2,    8, 26.666600000000003, True  ,        3,                   , False
Kenny Mayne                , Andrea Hale                             , Sports Broadcaster      , Washington         , United States               ,                          46,      2, Eliminated Week 1 ,        10,    8,  0.0              , False ,        3,                1.0, False
Lisa Rinna                 , Louis van Amstel                        , Actor/Actress           , California         , United States               ,                          42,      2, Eliminated Week 7 ,         4,    8,  0.0              , False ,        3,                7.0, False
Master P                   , Ashly DelGrosso                         , Singer/Rapper           , Louisiana          , United States               ,                          35,      2, Eliminated Week 4 ,         7,    8,  0.0              , False ,        3,                4.0, False
Stacy Keibler              , Tony Dovolani                           , Athlete                 , Maryland           , United States               ,                          26,      2, 3rd Place         ,         3,    8, 28.6665           , True  ,        3,                   , False
Tatum O'Neal               , Nick Kosovich                           , Actor/Actress           , California         , United States               ,                          42,      2, Eliminated Week 2 ,         9,    8,  0.0              , False ,        3,                2.0, False
Tia Carrere                , Maksim Chmerkoskiy                      , Actor/Actress           , Hawaii             , United States               ,                          39,      2, Eliminated Week 5 ,         6,    8,  0.0              , False ,        3,                5.0, False
Emmitt Smith               , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          37,      3, 1st Place         ,         1,    1, 24.0              , True  ,       11,                   , False
Harry Hamlin               , Ashly DelGrosso                         , Actor/Actress           , California         , United States               ,                          54,      3, Eliminated Week 3 ,         9,    1, 17.0              , True  ,       11,                3.0, False
Jerry Springer             , Kym Johnson                             , TV Personality          ,                    , England                     ,                          62,      3, Eliminated Week 7 ,         5,    1, 16.0              , True  ,       11,                7.0, False
Joey Lawrence              , Edyta Sliwinska                         , Actor/Actress           , Pennsylvania       , United States               ,                          30,      3, 3rd Place         ,         3,    1, 21.0              , True  ,       11,                   , False
Mario Lopez                , Karina Smirnoff                         , Actor/Actress           , California         , United States               ,                          32,      3, 2nd Place         ,         2,    1, 26.0              , True  ,       11,                   , False
Monique Coleman            , Louis van Amstel                        , Actor/Actress           , South Carolina     , United States               ,                          25,      3, Eliminated Week 8 ,         4,    1, 19.0              , True  ,       11,                8.0, False
Sara Evans                 , Tony Dovolani                           , Singer/Rapper           , Missouri           , United States               ,                          35,      3, Withdrew          ,         6,    1, 15.0              , True  ,       11,                   , False
Shanna Moakler             , Jesse DeSoto                            , Model                   , Rhode Island       , United States               ,                          31,      3, Eliminated Week 2 ,        10,    1, 18.0              , True  ,       11,                2.0, False
Tucker Carlson             , Elena Grinenko                          , TV Personality          , California         , United States               ,                          37,      3, Eliminated Week 1 ,        11,    1, 12.0              , True  ,       11,                1.0, True
Vivica A. Fox              , Nick Kosovich                           , Actor/Actress           , Indiana            , United States               ,                          42,      3, Eliminated Week 4 ,         8,    1, 22.0              , True  ,       11,                4.0, False
Willa Ford                 , Maksim Chmerkoskiy                      , Singer/Rapper           , Florida            , United States               ,                          25,      3, Eliminated Week 5 ,         7,    1, 22.0              , True  ,       11,                5.0, False
Emmitt Smith               , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          37,      3, 1st Place         ,         1,    2, 24.0              , True  ,       10,                   , False
Harry Hamlin               , Ashly DelGrosso                         , Actor/Actress           , California         , United States               ,                          54,      3, Eliminated Week 3 ,         9,    2, 21.0              , True  ,       10,                3.0, False
Jerry Springer             , Kym Johnson                             , TV Personality          ,                    , England                     ,                          62,      3, Eliminated Week 7 ,         5,    2, 19.0              , True  ,       10,                7.0, False
Joey Lawrence              , Edyta Sliwinska                         , Actor/Actress           , Pennsylvania       , United States               ,                          30,      3, 3rd Place         ,         3,    2, 29.0              , True  ,       10,                   , False
Mario Lopez                , Karina Smirnoff                         , Actor/Actress           , California         , United States               ,                          32,      3, 2nd Place         ,         2,    2, 21.0              , True  ,       10,                   , False
Monique Coleman            , Louis van Amstel                        , Actor/Actress           , South Carolina     , United States               ,                          25,      3, Eliminated Week 8 ,         4,    2, 26.0              , True  ,       10,                8.0, False
Sara Evans                 , Tony Dovolani                           , Singer/Rapper           , Missouri           , United States               ,                          35,      3, Withdrew          ,         6,    2, 21.0              , True  ,       10,                   , False
Shanna Moakler             , Jesse DeSoto                            , Model                   , Rhode Island       , United States               ,                          31,      3, Eliminated Week 2 ,        10,    2, 22.0              , True  ,       10,                2.0, True
Tucker Carlson             , Elena Grinenko                          , TV Personality          , California         , United States               ,                          37,      3, Eliminated Week 1 ,        11,    2,  0.0              , False ,       10,                1.0, False
Vivica A. Fox              , Nick Kosovich                           , Actor/Actress           , Indiana            , United States               ,                          42,      3, Eliminated Week 4 ,         8,    2, 24.0              , True  ,       10,                4.0, False
Willa Ford                 , Maksim Chmerkoskiy                      , Singer/Rapper           , Florida            , United States               ,                          25,      3, Eliminated Week 5 ,         7,    2, 23.0              , True  ,       10,                5.0, False
Emmitt Smith               , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          37,      3, 1st Place         ,         1,    3, 19.0              , True  ,        9,                   , False
Harry Hamlin               , Ashly DelGrosso                         , Actor/Actress           , California         , United States               ,                          54,      3, Eliminated Week 3 ,         9,    3, 22.0              , True  ,        9,                3.0, True
Jerry Springer             , Kym Johnson                             , TV Personality          ,                    , England                     ,                          62,      3, Eliminated Week 7 ,         5,    3, 21.0              , True  ,        9,                7.0, False
Joey Lawrence              , Edyta Sliwinska                         , Actor/Actress           , Pennsylvania       , United States               ,                          30,      3, 3rd Place         ,         3,    3, 22.0              , True  ,        9,                   , False
Mario Lopez                , Karina Smirnoff                         , Actor/Actress           , California         , United States               ,                          32,      3, 2nd Place         ,         2,    3, 22.0              , True  ,        9,                   , False
Monique Coleman            , Louis van Amstel                        , Actor/Actress           , South Carolina     , United States               ,                          25,      3, Eliminated Week 8 ,         4,    3, 27.0              , True  ,        9,                8.0, False
Sara Evans                 , Tony Dovolani                           , Singer/Rapper           , Missouri           , United States               ,                          35,      3, Withdrew          ,         6,    3, 25.0              , True  ,        9,                   , False
Shanna Moakler             , Jesse DeSoto                            , Model                   , Rhode Island       , United States               ,                          31,      3, Eliminated Week 2 ,        10,    3,  0.0              , False ,        9,                2.0, False
Tucker Carlson             , Elena Grinenko                          , TV Personality          , California         , United States               ,                          37,      3, Eliminated Week 1 ,        11,    3,  0.0              , False ,        9,                1.0, False
Vivica A. Fox              , Nick Kosovich                           , Actor/Actress           , Indiana            , United States               ,                          42,      3, Eliminated Week 4 ,         8,    3, 27.0              , True  ,        9,                4.0, False
Willa Ford                 , Maksim Chmerkoskiy                      , Singer/Rapper           , Florida            , United States               ,                          25,      3, Eliminated Week 5 ,         7,    3, 22.0              , True  ,        9,                5.0, False
Emmitt Smith               , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          37,      3, 1st Place         ,         1,    4, 24.0              , True  ,        8,                   , False
Harry Hamlin               , Ashly DelGrosso                         , Actor/Actress           , California         , United States               ,                          54,      3, Eliminated Week 3 ,         9,    4,  0.0              , False ,        8,                3.0, False
Jerry Springer             , Kym Johnson                             , TV Personality          ,                    , England                     ,                          62,      3, Eliminated Week 7 ,         5,    4, 22.0              , True  ,        8,                7.0, False
Joey Lawrence              , Edyta Sliwinska                         , Actor/Actress           , Pennsylvania       , United States               ,                          30,      3, 3rd Place         ,         3,    4, 27.0              , True  ,        8,                   , False
Mario Lopez                , Karina Smirnoff                         , Actor/Actress           , California         , United States               ,                          32,      3, 2nd Place         ,         2,    4, 29.0              , True  ,        8,                   , False
Monique Coleman            , Louis van Amstel                        , Actor/Actress           , South Carolina     , United States               ,                          25,      3, Eliminated Week 8 ,         4,    4, 24.0              , True  ,        8,                8.0, False
Sara Evans                 , Tony Dovolani                           , Singer/Rapper           , Missouri           , United States               ,                          35,      3, Withdrew          ,         6,    4, 20.0              , True  ,        8,                   , False
Shanna Moakler             , Jesse DeSoto                            , Model                   , Rhode Island       , United States               ,                          31,      3, Eliminated Week 2 ,        10,    4,  0.0              , False ,        8,                2.0, False
