season,week,n_active,actual_elim_count,predicted_elim_count,actual_elims,predicted_elims,exact_match,jaccard,missing_vote_estimates
2,5,10,10,10,Drew Lachey                ;George Hamilton            ;Giselle Fernandez          ;Jerry Rice                 ;Kenny Mayne                ;Lisa Rinna                 ;Master P                   ;Stacy Keibler              ;Tatum O'Neal               ;Tia Carrere                ,Drew Lachey                ;George Hamilton            ;Giselle Fernandez          ;Jerry Rice                 ;Kenny Mayne                ;Lisa Rinna                 ;Master P                   ;Stacy Keibler              ;Tatum O'Neal               ;Tia Carrere                ,1,1.0,10
2,6,10,10,10,Drew Lachey                ;George Hamilton            ;Giselle Fernandez          ;Jerry Rice                 ;Kenny Mayne                ;Lisa Rinna                 ;Master P                   ;Stacy Keibler              ;Tatum O'Neal               ;Tia Carrere                ,Drew Lachey                ;George Hamilton            ;Giselle Fernandez          ;Jerry Rice                 ;Kenny Mayne                ;Lisa Rinna                 ;Master P                   ;Stacy Keibler              ;Tatum O'Neal               ;Tia Carrere                ,1,1.0,10
2,7,10,10,10,Drew Lachey                ;George Hamilton            ;Giselle Fernandez          ;Jerry Rice                 ;Kenny Mayne                ;Lisa Rinna                 ;Master P                   ;Stacy Keibler              ;Tatum O'Neal               ;Tia Carrere                ,Drew Lachey                ;George Hamilton            ;Giselle Fernandez          ;Jerry Rice                 ;Kenny Mayne                ;Lisa Rinna                 ;Master P                   ;Stacy Keibler              ;Tatum O'Neal               ;Tia Carrere                ,1,1.0,10
2,8,10,10,10,Drew Lachey                ;George Hamilton            ;Giselle Fernandez          ;Jerry Rice                 ;Kenny Mayne                ;Lisa Rinna                 ;Master P                   ;Stacy Keibler              ;Tatum O'Neal               ;Tia Carrere                ,Drew Lachey                ;George Hamilton            ;Giselle Fernandez          ;Jerry Rice                 ;Kenny Mayne                ;Lisa Rinna                 ;Master P                   ;Stacy Keibler              ;Tatum O'Neal               ;Tia Carrere                ,1,1.0,10
3,1,11,11,11,Emmitt Smith               ;Harry Hamlin               ;Jerry Springer             ;Joey Lawrence              ;Mario Lopez                ;Monique Coleman            ;Sara Evans                 ;Shanna Moakler             ;Tucker Carlson             ;Vivica A. Fox              ;Willa Ford                 ,Emmitt Smith               ;Harry Hamlin               ;Jerry Springer             ;Joey Lawrence              ;Mario Lopez                ;Monique Coleman            ;Sara Evans                 ;Shanna Moakler             ;Tucker Carlson             ;Vivica A. Fox              ;Willa Ford                 ,1,1.0,11
3,2,11,11,11,Emmitt Smith               ;Harry Hamlin               ;Jerry Springer             ;Joey Lawrence              ;Mario Lopez                ;Monique Coleman            ;Sara Evans                 ;Shanna Moakler             ;Tucker Carlson             ;Vivica A. Fox              ;Willa Ford                 ,Emmitt Smith               ;Harry Hamlin               ;Jerry Springer             ;Joey Lawrence              ;Mario Lopez                ;Monique Coleman            ;Sara Evans                 ;Shanna Moakler             ;Tucker Carlson             ;Vivica A. Fox              ;Willa Ford                 ,1,1.0,11
3,3,11,11,11,Emmitt Smith               ;Harry Hamlin               ;Jerry Springer             ;Joey Lawrence              ;Mario Lopez                ;Monique Coleman            ;Sara Evans                 ;Shanna Moakler             ;Tucker Carlson             ;Vivica A. Fox              ;Willa Ford                 ,Emmitt Smith               ;Harry Hamlin               ;Jerry Springer             ;Joey Lawrence              ;Mario Lopez                ;Monique Coleman            ;Sara Evans                 ;Shanna Moakler             ;Tucker Carlson             ;Vivica A. Fox              ;Willa Ford                 ,1,1.0,11
3,4,11,11,11,Emmitt Smith               ;Harry Hamlin               ;Jerry Springer             ;Joey Lawrence              ;Mario Lopez                ;Monique Coleman            ;Sara Evans                 ;Shanna Moakler             ;Tucker Carlson             ;Vivica A. Fox              ;Willa Ford                 ,Emmitt Smith               ;Harry Hamlin               ;Jerry Springer             ;Joey Lawrence              ;Mario Lopez                ;Monique Coleman            ;Sara Evans                 ;Shanna Moakler             ;Tucker Carlson             ;Vivica A. Fox              ;Willa Ford                 ,1,1.0,11
3,5,11,11,11,Emmitt Smith               ;Harry Hamlin               ;Jerry Springer             ;Joey Lawrence              ;Mario Lopez                ;Monique Coleman            ;Sara Evans                 ;Shanna Moakler             ;Tucker Carlson             ;Vivica A. Fox              ;Willa Ford                 ,Emmitt Smith               ;Harry Hamlin               ;Jerry Springer             ;Joey Lawrence              ;Mario Lopez                ;Monique Coleman            ;Sara Evans                 ;Shanna Moakler             ;Tucker Carlson             ;Vivica A. Fox              ;Willa Ford                 ,1,1.0,11
3,6,11,11,11,Emmitt Smith               ;Harry Hamlin               ;Jerry Springer             ;Joey Lawrence              ;Mario Lopez                ;Monique Coleman            ;Sara Evans                 ;Shanna Moakler             ;Tucker Carlson             ;Vivica A. Fox              ;Willa Ford                 ,Emmitt Smith               ;Harry Hamlin               ;Jerry Springer             ;Joey Lawrence              ;Mario Lopez                ;Monique Coleman            ;Sara Evans                 ;Shanna Moakler             ;Tucker Carlson             ;Vivica A. Fox              ;Willa Ford                 ,1,1.0,11
3,7,11,11,11,Emmitt Smith               ;Harry Hamlin               ;Jerry Springer             ;Joey Lawrence              ;Mario Lopez                ;Monique Coleman            ;Sara Evans                 ;Shanna Moakler             ;Tucker Carlson             ;Vivica A. Fox              ;Willa Ford                 ,Emmitt Smith               ;Harry Hamlin               ;Jerry Springer             ;Joey Lawrence              ;Mario Lopez                ;Monique Coleman            ;Sara Evans                 ;Shanna Moakler             ;Tucker Carlson             ;Vivica A. Fox              ;Willa Ford                 ,1,1.0,11
3,8,11,11,11,Emmitt Smith               ;Harry Hamlin               ;Jerry Springer             ;Joey Lawrence              ;Mario Lopez                ;Monique Coleman            ;Sara Evans                 ;Shanna Moakler             ;Tucker Carlson             ;Vivica A. Fox              ;Willa Ford                 ,Emmitt Smith               ;Harry Hamlin               ;Jerry Springer             ;Joey Lawrence              ;Mario Lopez                ;Monique Coleman            ;Sara Evans                 ;Shanna Moakler             ;Tucker Carlson             ;Vivica A. Fox              ;Willa Ford                 ,1,1.0,11
3,9,11,11,11,Emmitt Smith               ;Harry Hamlin               ;Jerry Springer             ;Joey Lawrence              ;Mario Lopez                ;Monique Coleman            ;Sara Evans                 ;Shanna Moakler             ;Tucker Carlson             ;Vivica A. Fox              ;Willa Ford                 ,Emmitt Smith               ;Harry Hamlin               ;Jerry Springer             ;Joey Lawrence              ;Mario Lopez                ;Monique Coleman            ;Sara Evans                 ;Shanna Moakler             ;Tucker Carlson             ;Vivica A. Fox              ;Willa Ford                 ,1,1.0,11
3,10,11,11,11,Emmitt Smith               ;Harry Hamlin               ;Jerry Springer             ;Joey Lawrence              ;Mario Lopez                ;Monique Coleman            ;Sara Evans                 ;Shanna Moakler             ;Tucker Carlson             ;Vivica A. Fox              ;Willa Ford                 ,Emmitt Smith               ;Harry Hamlin               ;Jerry Springer             ;Joey Lawrence              ;Mario Lopez                ;Monique Coleman            ;Sara Evans                 ;Shanna Moakler             ;Tucker Carlson             ;Vivica A. Fox              ;Willa Ford                 ,1,1.0,11
4,1,11,11,11,Apolo Anton Ohno           ;Billy Ray Cyrus            ;Clyde Drexler              ;Heather Mills              ;Ian Ziering                ;Joey Fatone                ;John Ratzenberger          ;Laila Ali                  ;Leeza Gibbons              ;Paulina Porizkova          ;Shandi Finnessey           ,Apolo Anton Ohno           ;Billy Ray Cyrus            ;Clyde Drexler              ;Heather Mills              ;Ian Ziering                ;Joey Fatone                ;John Ratzenberger          ;Laila Ali                  ;Leeza Gibbons              ;Paulina Porizkova          ;Shandi Finnessey           ,1,1.0,11
4,2,11,11,11,Apolo Anton Ohno           ;Billy Ray Cyrus            ;Clyde Drexler              ;Heather Mills              ;Ian Ziering                ;Joey Fatone                ;John Ratzenberger          ;Laila Ali                  ;Leeza Gibbons              ;Paulina Porizkova          ;Shandi Finnessey           ,Apolo Anton Ohno           ;Billy Ray Cyrus            ;Clyde Drexler              ;Heather Mills              ;Ian Ziering                ;Joey Fatone                ;John Ratzenberger          ;Laila Ali                  ;Leeza Gibbons              ;Paulina Porizkova          ;Shandi Finnessey           ,1,1.0,11
4,3,11,11,11,Apolo Anton Ohno           ;Billy Ray Cyrus            ;Clyde Drexler              ;Heather Mills              ;Ian Ziering                ;Joey Fatone                ;John Ratzenberger          ;Laila Ali                  ;Leeza Gibbons              ;Paulina Porizkova          ;Shandi Finnessey           ,Apolo Anton Ohno           ;Billy Ray Cyrus            ;Clyde Drexler              ;Heather Mills              ;Ian Ziering                ;Joey Fatone                ;John Ratzenberger          ;Laila Ali                  ;Leeza Gibbons              ;Paulina Porizkova          ;Shandi Finnessey           ,1,1.0,11
4,4,11,11,11,Apolo Anton Ohno           ;Billy Ray Cyrus            ;Clyde Drexler              ;Heather Mills              ;Ian Ziering                ;Joey Fatone                ;John Ratzenberger          ;Laila Ali                  ;Leeza Gibbons              ;Paulina Porizkova          ;Shandi Finnessey           ,Apolo Anton Ohno           ;Billy Ray Cyrus            ;Clyde Drexler              ;Heather Mills              ;Ian Ziering                ;Joey Fatone                ;John Ratzenberger          ;Laila Ali                  ;Leeza Gibbons              ;Paulina Porizkova          ;Shandi Finnessey           ,1,1.0,11
4,5,11,11,11,Apolo Anton Ohno           ;Billy Ray Cyrus            ;Clyde Drexler              ;Heather Mills              ;Ian Ziering                ;Joey Fatone                ;John Ratzenberger          ;Laila Ali                  ;Leeza Gibbons              ;Paulina Porizkova          ;Shandi Finnessey           ,Apolo Anton Ohno           ;Billy Ray Cyrus            ;Clyde Drexler              ;Heather Mills              ;Ian Ziering                ;Joey Fatone                ;John Ratzenberger          ;Laila Ali                  ;Leeza Gibbons              ;Paulina Porizkova          ;Shandi Finnessey           ,1,1.0,11
4,6,11,11,11,Apolo Anton Ohno           ;Billy Ray Cyrus            ;Clyde Drexler              ;Heather Mills              ;Ian Ziering                ;Joey Fatone                ;John Ratzenberger          ;Laila Ali                  ;Leeza Gibbons              ;Paulina Porizkova          ;Shandi Finnessey           ,Apolo Anton Ohno           ;Billy Ray Cyrus            ;Clyde Drexler              ;Heather Mills              ;Ian Ziering                ;Joey Fatone                ;John Ratzenberger          ;Laila Ali                  ;Leeza Gibbons              ;Paulina Porizkova          ;Shandi Finnessey           ,1,1.0,11
4,7,11,11,11,Apolo Anton Ohno           ;Billy Ray Cyrus            ;Clyde Drexler              ;Heather Mills              ;Ian Ziering                ;Joey Fatone                ;John Ratzenberger          ;Laila Ali                  ;Leeza Gibbons              ;Paulina Porizkova          ;Shandi Finnessey           ,Apolo Anton Ohno           ;Billy Ray Cyrus            ;Clyde Drexler              ;Heather Mills              ;Ian Ziering                ;Joey Fatone                ;John Ratzenberger          ;Laila Ali                  ;Leeza Gibbons              ;Paulina Porizkova          ;Shandi Finnessey           ,1,1.0,11
4,8,11,11,11,Apolo Anton Ohno           ;Billy Ray Cyrus            ;Clyde Drexler              ;Heather Mills              ;Ian Ziering                ;Joey Fatone                ;John Ratzenberger          ;Laila Ali                  ;Leeza Gibbons              ;Paulina Porizkova          ;Shandi Finnessey           ,Apolo Anton Ohno           ;Billy Ray Cyrus            ;Clyde Drexler              ;Heather Mills              ;Ian Ziering                ;Joey Fatone                ;John Ratzenberger          ;Laila Ali                  ;Leeza Gibbons              ;Paulina Porizkova          ;Shandi Finnessey           ,1,1.0,11
4,9,11,11,11,Apolo Anton Ohno           ;Billy Ray Cyrus            ;Clyde Drexler              ;Heather Mills              ;Ian Ziering                ;Joey Fatone                ;John Ratzenberger          ;Laila Ali                  ;Leeza Gibbons              ;Paulina Porizkova          ;Shandi Finnessey           ,Apolo Anton Ohno           ;Billy Ray Cyrus            ;Clyde Drexler              ;Heather Mills              ;Ian Ziering                ;Joey Fatone                ;John Ratzenberger          ;Laila Ali                  ;Leeza Gibbons              ;Paulina Porizkova          ;Shandi Finnessey           ,1,1.0,11
4,10,11,11,11,Apolo Anton Ohno           ;Billy Ray Cyrus            ;Clyde Drexler              ;Heather Mills              ;Ian Ziering                ;Joey Fatone                ;John Ratzenberger          ;Laila Ali                  ;Leeza Gibbons              ;Paulina Porizkova          ;Shandi Finnessey           ,Apolo Anton Ohno           ;Billy Ray Cyrus            ;Clyde Drexler              ;Heather Mills              ;Ian Ziering                ;Joey Fatone                ;John Ratzenberger          ;Laila Ali                  ;Leeza Gibbons              ;Paulina Porizkova          ;Shandi Finnessey           ,1,1.0,11
5,1,12,12,12,Albert Reed                ;Cameron Mathison           ;Floyd Mayweather Jr.       ;Helio Castroneves          ;Jane Seymour               ;Jennie Garth               ;Josie Maran                ;Marie Osmond               ;Mark Cuban                 ;Mel B                      ;Sabrina Bryan              ;Wayne Newton               ,Albert Reed                ;Cameron Mathison           ;Floyd Mayweather Jr.       ;Helio Castroneves          ;Jane Seymour               ;Jennie Garth               ;Josie Maran                ;Marie Osmond               ;Mark Cuban                 ;Mel B                      ;Sabrina Bryan              ;Wayne Newton               ,1,1.0,12
5,2,12,12,12,Albert Reed                ;Cameron Mathison           ;Floyd Mayweather Jr.       ;Helio Castroneves          ;Jane Seymour               ;Jennie Garth               ;Josie Maran                ;Marie Osmond               ;Mark Cuban                 ;Mel B                      ;Sabrina Bryan              ;Wayne Newton               ,Albert Reed                ;Cameron Mathison           ;Floyd Mayweather Jr.       ;Helio Castroneves          ;Jane Seymour               ;Jennie Garth               ;Josie Maran                ;Marie Osmond               ;Mark Cuban                 ;Mel B                      ;Sabrina Bryan              ;Wayne Newton               ,1,1.0,12
5,3,12,12,12,Albert Reed                ;Cameron Mathison           ;Floyd Mayweather Jr.       ;Helio Castroneves          ;Jane Seymour               ;Jennie Garth               ;Josie Maran                ;Marie Osmond               ;Mark Cuban                 ;Mel B                      ;Sabrina Bryan              ;Wayne Newton               ,Albert Reed                ;Cameron Mathison           ;Floyd Mayweather Jr.       ;Helio Castroneves          ;Jane Seymour               ;Jennie Garth               ;Josie Maran                ;Marie Osmond               ;Mark Cuban                 ;Mel B                      ;Sabrina Bryan              ;Wayne Newton               ,1,1.0,12
5,4,12,12,12,Albert Reed                ;Cameron Mathison           ;Floyd Mayweather Jr.       ;Helio Castroneves          ;Jane Seymour               ;Jennie Garth               ;Josie Maran                ;Marie Osmond               ;Mark Cuban                 ;Mel B                      ;Sabrina Bryan              ;Wayne Newton               ,Albert Reed                ;Cameron Mathison           ;Floyd Mayweather Jr.       ;Helio Castroneves          ;Jane Seymour               ;Jennie Garth               ;Josie Maran                ;Marie Osmond               ;Mark Cuban                 ;Mel B                      ;Sabrina Bryan              ;Wayne Newton               ,1,1.0,12
5,5,12,12,12,Albert Reed                ;Cameron Mathison           ;Floyd Mayweather Jr.       ;Helio Castroneves          ;Jane Seymour               ;Jennie Garth               ;Josie Maran                ;Marie Osmond               ;Mark Cuban                 ;Mel B                      ;Sabrina Bryan              ;Wayne Newton               ,Albert Reed                ;Cameron Mathison           ;Floyd Mayweather Jr.       ;Helio Castroneves          ;Jane Seymour               ;Jennie Garth               ;Josie Maran                ;Marie Osmond               ;Mark Cuban                 ;Mel B                      ;Sabrina Bryan              ;Wayne Newton               ,1,1.0,12
5,6,12,12,12,Albert Reed                ;Cameron Mathison           ;Floyd Mayweather Jr.       ;Helio Castroneves          ;Jane Seymour               ;Jennie Garth               ;Josie Maran                ;Marie Osmond               ;Mark Cuban                 ;Mel B                      ;Sabrina Bryan              ;Wayne Newton               ,Albert Reed                ;Cameron Mathison           ;Floyd Mayweather Jr.       ;Helio Castroneves          ;Jane Seymour               ;Jennie Garth               ;Josie Maran                ;Marie Osmond               ;Mark Cuban                 ;Mel B                      ;Sabrina Bryan              ;Wayne Newton               ,1,1.0,12
5,7,12,12,12,Albert Reed                ;Cameron Mathison           ;Floyd Mayweather Jr.       ;Helio Castroneves          ;Jane Seymour               ;Jennie Garth               ;Josie Maran                ;Marie Osmond               ;Mark Cuban                 ;Mel B                      ;Sabrina Bryan              ;Wayne Newton               ,Albert Reed                ;Cameron Mathison           ;Floyd Mayweather Jr.       ;Helio Castroneves          ;Jane Seymour               ;Jennie Garth               ;Josie Maran                ;Marie Osmond               ;Mark Cuban                 ;Mel B                      ;Sabrina Bryan              ;Wayne Newton               ,1,1.0,12
5,8,12,12,12,Albert Reed                ;Cameron Mathison           ;Floyd Mayweather Jr.       ;Helio Castroneves          ;Jane Seymour               ;Jennie Garth               ;Josie Maran                ;Marie Osmond               ;Mark Cuban                 ;Mel B                      ;Sabrina Bryan              ;Wayne Newton               ,Albert Reed                ;Cameron Mathison           ;Floyd Mayweather Jr.       ;Helio Castroneves          ;Jane Seymour               ;Jennie Garth               ;Josie Maran                ;Marie Osmond               ;Mark Cuban                 ;Mel B                      ;Sabrina Bryan              ;Wayne Newton               ,1,1.0,12
5,9,12,12,12,Albert Reed                ;Cameron Mathison           ;Floyd Mayweather Jr.       ;Helio Castroneves          ;Jane Seymour               ;Jennie Garth               ;Josie Maran                ;Marie Osmond               ;Mark Cuban                 ;Mel B                      ;Sabrina Bryan              ;Wayne Newton               ,Albert Reed                ;Cameron Mathison           ;Floyd Mayweather Jr.       ;Helio Castroneves          ;Jane Seymour               ;Jennie Garth               ;Josie Maran                ;Marie Osmond               ;Mark Cuban                 ;Mel B                      ;Sabrina Bryan              ;Wayne Newton               ,1,1.0,12
5,10,12,12,12,Albert Reed                ;Cameron Mathison           ;Floyd Mayweather Jr.       ;Helio Castroneves          ;Jane Seymour               ;Jennie Garth               ;Josie Maran                ;Marie Osmond               ;Mark Cuban                 ;Mel B                      ;Sabrina Bryan              ;Wayne Newton               ,Albert Reed                ;Cameron Mathison           ;Floyd Mayweather Jr.       ;Helio Castroneves          ;Jane Seymour               ;Jennie Garth               ;Josie Maran                ;Marie Osmond               ;Mark Cuban                 ;Mel B                      ;Sabrina Bryan              ;Wayne Newton               ,1,1.0,12
6,1,12,12,12,Adam Carolla               ;Cristian de la Fuente      ;Jason Taylor               ;Kristi Yamaguchi           ;Mario                      ;Marissa Jaret Winokur      ;Marlee Matlin              ;Monica Seles               ;Penn Jillette              ;Priscilla Presley          ;Shannon Elizabeth          ;Steve Guttenberg           ,Adam Carolla               ;Cristian de la Fuente      ;Jason Taylor               ;Kristi Yamaguchi           ;Mario                      ;Marissa Jaret Winokur      ;Marlee Matlin              ;Monica Seles               ;Penn Jillette              ;Priscilla Presley          ;Shannon Elizabeth          ;Steve Guttenberg           ,1,1.0,12
6,2,12,12,12,Adam Carolla               ;Cristian de la Fuente      ;Jason Taylor               ;Kristi Yamaguchi           ;Mario                      ;Marissa Jaret Winokur      ;Marlee Matlin              ;Monica Seles               ;Penn Jillette              ;Priscilla Presley          ;Shannon Elizabeth          ;Steve Guttenberg           ,Adam Carolla               ;Cristian de la Fuente      ;Jason Taylor               ;Kristi Yamaguchi           ;Mario                      ;Marissa Jaret Winokur      ;Marlee Matlin              ;Monica Seles               ;Penn Jillette              ;Priscilla Presley          ;Shannon Elizabeth          ;Steve Guttenberg           ,1,1.0,12
6,3,12,12,12,Adam Carolla               ;Cristian de la Fuente      ;Jason Taylor               ;Kristi Yamaguchi           ;Mario                      ;Marissa Jaret Winokur      ;Marlee Matlin              ;Monica Seles               ;Penn Jillette              ;Priscilla Presley          ;Shannon Elizabeth          ;Steve Guttenberg           ,Adam Carolla               ;Cristian de la Fuente      ;Jason Taylor               ;Kristi Yamaguchi           ;Mario                      ;Marissa Jaret Winokur      ;Marlee Matlin              ;Monica Seles               ;Penn Jillette              ;Priscilla Presley          ;Shannon Elizabeth          ;Steve Guttenberg           ,1,1.0,12
6,4,12,12,12,Adam Carolla               ;Cristian de la Fuente      ;Jason Taylor               ;Kristi Yamaguchi           ;Mario                      ;Marissa Jaret Winokur      ;Marlee Matlin              ;Monica Seles               ;Penn Jillette              ;Priscilla Presley          ;Shannon Elizabeth          ;Steve Guttenberg           ,Adam Carolla               ;Cristian de la Fuente      ;Jason Taylor               ;Kristi Yamaguchi           ;Mario                      ;Marissa Jaret Winokur      ;Marlee Matlin              ;Monica Seles               ;Penn Jillette              ;Priscilla Presley          ;Shannon Elizabeth          ;Steve Guttenberg           ,1,1.0,12
6,5,12,12,12,Adam Carolla               ;Cristian de la Fuente      ;Jason Taylor               ;Kristi Yamaguchi           ;Mario                      ;Marissa Jaret Winokur      ;Marlee Matlin              ;Monica Seles               ;Penn Jillette              ;Priscilla Presley          ;Shannon Elizabeth          ;Steve Guttenberg           ,Adam Carolla               ;Cristian de la Fuente      ;Jason Taylor               ;Kristi Yamaguchi           ;Mario                      ;Marissa Jaret Winokur      ;Marlee Matlin              ;Monica Seles               ;Penn Jillette              ;Priscilla Presley          ;Shannon Elizabeth          ;Steve Guttenberg           ,1,1.0,12
6,6,12,12,12,Adam Carolla               ;Cristian de la Fuente      ;Jason Taylor               ;Kristi Yamaguchi           ;Mario                      ;Marissa Jaret Winokur      ;Marlee Matlin              ;Monica Seles               ;Penn Jillette              ;Priscilla Presley          ;Shannon Elizabeth          ;Steve Guttenberg           ,Adam Carolla               ;Cristian de la Fuente      ;Jason Taylor               ;Kristi Yamaguchi           ;Mario                      ;Marissa Jaret Winokur      ;Marlee Matlin              ;Monica Seles               ;Penn Jillette              ;Priscilla Presley          ;Shannon Elizabeth          ;Steve Guttenberg           ,1,1.0,12
6,7,12,12,12,Adam Carolla               ;Cristian de la Fuente      ;Jason Taylor               ;Kristi Yamaguchi           ;Mario                      ;Marissa Jaret Winokur      ;Marlee Matlin              ;Monica Seles               ;Penn Jillette              ;Priscilla Presley          ;Shannon Elizabeth          ;Steve Guttenberg           ,Adam Carolla               ;Cristian de la Fuente      ;Jason Taylor               ;Kristi Yamaguchi           ;Mario                      ;Marissa Jaret Winokur      ;Marlee Matlin              ;Monica Seles               ;Penn Jillette              ;Priscilla Presley          ;Shannon Elizabeth          ;Steve Guttenberg           ,1,1.0,12
6,8,12,12,12,Adam Carolla               ;Cristian de la Fuente      ;Jason Taylor               ;Kristi Yamaguchi           ;Mario                      ;Marissa Jaret Winokur      ;Marlee Matlin              ;Monica Seles               ;Penn Jillette              ;Priscilla Presley          ;Shannon Elizabeth          ;Steve Guttenberg           ,Adam Carolla               ;Cristian de la Fuente      ;Jason Taylor               ;Kristi Yamaguchi           ;Mario                      ;Marissa Jaret Winokur      ;Marlee Matlin              ;Monica Seles               ;Penn Jillette              ;Priscilla Presley          ;Shannon Elizabeth          ;Steve Guttenberg           ,1,1.0,12
6,9,12,12,12,Adam Carolla               ;Cristian de la Fuente      ;Jason Taylor               ;Kristi Yamaguchi           ;Mario                      ;Marissa Jaret Winokur      ;Marlee Matlin              ;Monica Seles               ;Penn Jillette              ;Priscilla Presley          ;Shannon Elizabeth          ;Steve Guttenberg           ,Adam Carolla               ;Cristian de la Fuente      ;Jason Taylor               ;Kristi Yamaguchi           ;Mario                      ;Marissa Jaret Winokur      ;Marlee Matlin              ;Monica Seles               ;Penn Jillette              ;Priscilla Presley          ;Shannon Elizabeth          ;Steve Guttenberg           ,1,1.0,12
6,10,12,12,12,Adam Carolla               ;Cristian de la Fuente      ;Jason Taylor               ;Kristi Yamaguchi           ;Mario                      ;Marissa Jaret Winokur      ;Marlee Matlin              ;Monica Seles               ;Penn Jillette              ;Priscilla Presley          ;Shannon Elizabeth          ;Steve Guttenberg           ,Adam Carolla               ;Cristian de la Fuente      ;Jason Taylor               ;Kristi Yamaguchi           ;Mario                      ;Marissa Jaret Winokur      ;Marlee Matlin              ;Monica Seles               ;Penn Jillette              ;Priscilla Presley          ;Shannon Elizabeth          ;Steve Guttenberg           ,1,1.0,12
7,1,13,13,13,Brooke Burke               ;Cloris Leachman            ;Cody Linley                ;Jeffrey Ross               ;Kim Kardashian             ;Lance Bass                 ;Maurice Greene             ;Misty May-Treanor          ;Rocco DiSpirito            ;Susan Lucci                ;Ted McGinley               ;Toni Braxton               ;Warren Sapp                ,Brooke Burke               ;Cloris Leachman            ;Cody Linley                ;Jeffrey Ross               ;Kim Kardashian             ;Lance Bass                 ;Maurice Greene             ;Misty May-Treanor          ;Rocco DiSpirito            ;Susan Lucci                ;Ted McGinley               ;Toni Braxton               ;Warren Sapp                ,1,1.0,13
