season, week, method , bottom2_save, rank_tie_method, k_official, n_active_before, eliminated_pred
     4,    9, rank   , True        , average        ,          1,               4, Ian Ziering
     4,   10, rank   , True        , average        ,          0,               3, 
     5,    1, percent, False       ,                ,          1,              12, Josie Maran
     5,    2, percent, False       ,                ,          1,              11, Wayne Newton
     5,    3, percent, False       ,                ,          1,              10, Albert Reed
     5,    4, percent, False       ,                ,          1,               9, Floyd Mayweather Jr.
     5,    5, percent, False       ,                ,          1,               8, Mark Cuban
     5,    6, percent, False       ,                ,          1,               7, Sabrina Bryan
     5,    7, percent, False       ,                ,          1,               6, Jane Seymour
     5,    8, percent, False       ,                ,          1,               5, Cameron Mathison
     5,    9, percent, False       ,                ,          1,               4, Jennie Garth
     5,   10, percent, False       ,                ,          0,               3, 
     5,    1, percent, True        ,                ,          1,              12, Josie Maran
     5,    2, percent, True        ,                ,          1,              11, Wayne Newton
     5,    3, percent, True        ,                ,          1,              10, Albert Reed
     5,    4, percent, True        ,                ,          1,               9, Mark Cuban
     5,    5, percent, True        ,                ,          1,               8, Floyd Mayweather Jr.
     5,    6, percent, True        ,                ,          1,               7, Jane Seymour
     5,    7, percent, True        ,                ,          1,               6, Sabrina Bryan
     5,    8, percent, True        ,                ,          1,               5, Jennie Garth
     5,    9, percent, True        ,                ,          1,               4, Cameron Mathison
     5,   10, percent, True        ,                ,          0,               3, 
     5,    1, rank   , False       , min            ,          1,              12, Josie Maran
     5,    2, rank   , False       , min            ,          1,              11, Wayne Newton
     5,    3, rank   , False       , min            ,          1,              10, Floyd Mayweather Jr.
     5,    4, rank   , False       , min            ,          1,               9, Mark Cuban
     5,    5, rank   , False       , min            ,          1,               8, Albert Reed
     5,    6, rank   , False       , min            ,          1,               7, Jane Seymour
     5,    7, rank   , False       , min            ,          1,               6, Cameron Mathison
     5,    8, rank   , False       , min            ,          1,               5, Sabrina Bryan
     5,    9, rank   , False       , min            ,          1,               4, Jennie Garth
     5,   10, rank   , False       , min            ,          0,               3, 
     5,    1, rank   , True        , min            ,          1,              12, Josie Maran
     5,    2, rank   , True        , min            ,          1,              11, Wayne Newton
     5,    3, rank   , True        , min            ,          1,              10, Mark Cuban
     5,    4, rank   , True        , min            ,          1,               9, Albert Reed
     5,    5, rank   , True        , min            ,          1,               8, Floyd Mayweather Jr.
     5,    6, rank   , True        , min            ,          1,               7, Jane Seymour
     5,    7, rank   , True        , min            ,          1,               6, Sabrina Bryan
     5,    8, rank   , True        , min            ,          1,               5, Jennie Garth
     5,    9, rank   , True        , min            ,          1,               4, Cameron Mathison
     5,   10, rank   , True        , min            ,          0,               3, 
     5,    1, rank   , False       , average        ,          1,              12, Josie Maran
     5,    2, rank   , False       , average        ,          1,              11, Wayne Newton
     5,    3, rank   , False       , average        ,          1,              10, Floyd Mayweather Jr.
     5,    4, rank   , False       , average        ,          1,               9, Mark Cuban
     5,    5, rank   , False       , average        ,          1,               8, Albert Reed
     5,    6, rank   , False       , average        ,          1,               7, Jane Seymour
     5,    7, rank   , False       , average        ,          1,               6, Cameron Mathison
     5,    8, rank   , False       , average        ,          1,               5, Sabrina Bryan
     5,    9, rank   , False       , average        ,          1,               4, Jennie Garth
     5,   10, rank   , False       , average        ,          0,               3, 
     5,    1, rank   , True        , average        ,          1,              12, Josie Maran
     5,    2, rank   , True        , average        ,          1,              11, Wayne Newton
     5,    3, rank   , True        , average        ,          1,              10, Mark Cuban
     5,    4, rank   , True        , average        ,          1,               9, Albert Reed
     5,    5, rank   , True        , average        ,          1,               8, Floyd Mayweather Jr.
     5,    6, rank   , True        , average        ,          1,               7, Jane Seymour
     5,    7, rank   , True        , average        ,          1,               6, Sabrina Bryan
     5,    8, rank   , True        , average        ,          1,               5, Jennie Garth
     5,    9, rank   , True        , average        ,          1,               4, Cameron Mathison
     5,   10, rank   , True        , average        ,          0,               3, 
     6,    1, percent, False       ,                ,          0,              12, 
     6,    2, percent, False       ,                ,          2,              12, Monica Seles; Penn Jillette
     6,    3, percent, False       ,                ,          1,              10, Steve Guttenberg
     6,    4, percent, False       ,                ,          1,               9, Adam Carolla
     6,    5, percent, False       ,                ,          1,               8, Priscilla Presley
     6,    6, percent, False       ,                ,          1,               7, Marlee Matlin
     6,    7, percent, False       ,                ,          1,               6, Shannon Elizabeth
     6,    8, percent, False       ,                ,          1,               5, Mario
     6,    9, percent, False       ,                ,          1,               4, Marissa Jaret Winokur
     6,   10, percent, False       ,                ,          0,               3, 
     6,    1, percent, True        ,                ,          0,              12, 
     6,    2, percent, True        ,                ,          2,              12, Monica Seles; Steve Guttenberg
     6,    3, percent, True        ,                ,          1,              10, Penn Jillette
     6,    4, percent, True        ,                ,          1,               9, Adam Carolla
     6,    5, percent, True        ,                ,          1,               8, Priscilla Presley
     6,    6, percent, True        ,                ,          1,               7, Marlee Matlin
     6,    7, percent, True        ,                ,          1,               6, Shannon Elizabeth
     6,    8, percent, True        ,                ,          1,               5, Marissa Jaret Winokur
     6,    9, percent, True        ,                ,          1,               4, Mario
     6,   10, percent, True        ,                ,          0,               3, 
     6,    1, rank   , False       , min            ,          0,              12, 
     6,    2, rank   , False       , min            ,          2,              12, Monica Seles; Penn Jillette
     6,    3, rank   , False       , min            ,          1,              10, Steve Guttenberg
     6,    4, rank   , False       , min            ,          1,               9, Adam Carolla
     6,    5, rank   , False       , min            ,          1,               8, Priscilla Presley
     6,    6, rank   , False       , min            ,          1,               7, Marlee Matlin
     6,    7, rank   , False       , min            ,          1,               6, Shannon Elizabeth
     6,    8, rank   , False       , min            ,          1,               5, Marissa Jaret Winokur
     6,    9, rank   , False       , min            ,          1,               4, Mario
     6,   10, rank   , False       , min            ,          0,               3, 
     6,    1, rank   , True        , min            ,          0,              12, 
     6,    2, rank   , True        , min            ,          2,              12, Monica Seles; Steve Guttenberg
     6,    3, rank   , True        , min            ,          1,              10, Penn Jillette
     6,    4, rank   , True        , min            ,          1,               9, Adam Carolla
     6,    5, rank   , True        , min            ,          1,               8, Priscilla Presley
     6,    6, rank   , True        , min            ,          1,               7, Marlee Matlin
     6,    7, rank   , True        , min            ,          1,               6, Shannon Elizabeth
     6,    8, rank   , True        , min            ,          1,               5, Marissa Jaret Winokur
     6,    9, rank   , True        , min            ,          1,               4, Mario
     6,   10, rank   , True        , min            ,          0,               3, 
     6,    1, rank   , False       , average        ,          0,              12, 
     6,    2, rank   , False       , average        ,          2,              12, Monica Seles; Penn Jillette
     6,    3, rank   , False       , average        ,          1,              10, Steve Guttenberg
     6,    4, rank   , False       , average        ,          1,               9, Adam Carolla
     6,    5, rank   , False       , average        ,          1,               8, Priscilla Presley
     6,    6, rank   , False       , average        ,          1,               7, Marlee Matlin
     6,    7, rank   , False       , average        ,          1,               6, Shannon Elizabeth
     6,    8, rank   , False       , average        ,          1,               5, Marissa Jaret Winokur
     6,    9, rank   , False       , average        ,          1,               4, Mario
     6,   10, rank   , False       , average        ,          0,               3, 
     6,    1, rank   , True        , average        ,          0,              12, 
     6,    2, rank   , True        , average        ,          2,              12, Monica Seles; Steve Guttenberg
     6,    3, rank   , True        , average        ,          1,              10, Penn Jillette
     6,    4, rank   , True        , average        ,          1,               9, Adam Carolla
     6,    5, rank   , True        , average        ,          1,               8, Priscilla Presley
     6,    6, rank   , True        , average        ,          1,               7, Marlee Matlin
     6,    7, rank   , True        , average        ,          1,               6, Shannon Elizabeth
     6,    8, rank   , True        , average        ,          1,               5, Marissa Jaret Winokur
     6,    9, rank   , True        , average        ,          1,               4, Mario
     6,   10, rank   , True        , average        ,          0,               3, 
     7,    1, percent, False       ,                ,          2,              13, Jeffrey Ross; Ted McGinley
     7,    2, percent, False       ,                ,          1,              11, Kim Kardashian
     7,    3, percent, False       ,                ,          0,              10, 
     7,    4, percent, False       ,                ,          1,              10, Rocco DiSpirito
     7,    5, percent, False       ,                ,          1,               9, Misty May-Treanor
     7,    6, percent, False       ,                ,          1,               8, Cloris Leachman
     7,    7, percent, False       ,                ,          1,               7, Toni Braxton
     7,    8, percent, False       ,                ,          1,               6, Susan Lucci
     7,    9, percent, False       ,                ,          1,               5, Maurice Greene
     7,   10, percent, False       ,                ,          0,               4, 
     7,    1, percent, True        ,                ,          2,              13, Jeffrey Ross; Ted McGinley
     7,    2, percent, True        ,                ,          1,              11, Rocco DiSpirito
     7,    3, percent, True        ,                ,          0,              10, 
     7,    4, percent, True        ,                ,          1,              10, Kim Kardashian
     7,    5, percent, True        ,                ,          1,               9, Misty May-Treanor
     7,    6, percent, True        ,                ,          1,               8, Toni Braxton
     7,    7, percent, True        ,                ,          1,               7, Cloris Leachman
     7,    8, percent, True        ,                ,          1,               6, Susan Lucci
     7,    9, percent, True        ,                ,          1,               5, Maurice Greene
     7,   10, percent, True        ,                ,          0,               4, 
     7,    1, rank   , False       , min            ,          2,              13, Jeffrey Ross; Ted McGinley
     7,    2, rank   , False       , min            ,          1,              11, Kim Kardashian
     7,    3, rank   , False       , min            ,          0,              10, 
     7,    4, rank   , False       , min            ,          1,              10, Rocco DiSpirito
     7,    5, rank   , False       , min            ,          1,               9, Misty May-Treanor
     7,    6, rank   , False       , min            ,          1,               8, Cloris Leachman
     7,    7, rank   , False       , min            ,          1,               7, Toni Braxton
     7,    8, rank   , False       , min            ,          1,               6, Susan Lucci
     7,    9, rank   , False       , min            ,          1,               5, Cody Linley
     7,   10, rank   , False       , min            ,          0,               4, 
     7,    1, rank   , True        , min            ,          2,              13, Jeffrey Ross; Rocco DiSpirito
     7,    2, rank   , True        , min            ,          1,              11, Ted McGinley
     7,    3, rank   , True        , min            ,          0,              10, 
     7,    4, rank   , True        , min            ,          1,              10, Kim Kardashian
     7,    5, rank   , True        , min            ,          1,               9, Misty May-Treanor
     7,    6, rank   , True        , min            ,          1,               8, Toni Braxton
     7,    7, rank   , True        , min            ,          1,               7, Cloris Leachman
     7,    8, rank   , True        , min            ,          1,               6, Susan Lucci
     7,    9, rank   , True        , min            ,          1,               5, Maurice Greene
     7,   10, rank   , True        , min            ,          0,               4, 
     7,    1, rank   , False       , average        ,          2,              13, Jeffrey Ross; Ted McGinley
     7,    2, rank   , False       , average        ,          1,              11, Kim Kardashian
     7,    3, rank   , False       , average        ,          0,              10, 
     7,    4, rank   , False       , average        ,          1,              10, Rocco DiSpirito
     7,    5, rank   , False       , average        ,          1,               9, Misty May-Treanor
     7,    6, rank   , False       , average        ,          1,               8, Cloris Leachman
     7,    7, rank   , False       , average        ,          1,               7, Toni Braxton
     7,    8, rank   , False       , average        ,          1,               6, Susan Lucci
     7,    9, rank   , False       , average        ,          1,               5, Cody Linley
     7,   10, rank   , False       , average        ,          0,               4, 
     7,    1, rank   , True        , average        ,          2,              13, Jeffrey Ross; Ted McGinley
     7,    2, rank   , True        , average        ,          1,              11, Rocco DiSpirito
     7,    3, rank   , True        , average        ,          0,              10, 
     7,    4, rank   , True        , average        ,          1,              10, Kim Kardashian
     7,    5, rank   , True        , average        ,          1,               9, Misty May-Treanor
     7,    6, rank   , True        , average        ,          1,               8, Toni Braxton
     7,    7, rank   , True        , average        ,          1,               7, Cloris Leachman
     7,    8, rank   , True        , average        ,          1,               6, Susan Lucci
     7,    9, rank   , True        , average        ,          1,               5, Maurice Greene
     7,   10, rank   , True        , average        ,          0,               4, 
     8,    1, percent, False       ,                ,          0,              13, 
     8,    2, percent, False       ,                ,          1,              13, Belinda Carlisle
     8,    3, percent, False       ,                ,          1,              12, Denise Richards
     8,    4, percent, False       ,                ,          2,              11, Steve Wozniak; Holly Madison
     8,    5, percent, False       ,                ,          1,               9, David Alan Grier
     8,    6, percent, False       ,                ,          1,               8, Steve-O
     8,    7, percent, False       ,                ,          1,               7, Lawrence Taylor
     8,    8, percent, False       ,                ,          1,               6, Chuck Wicks
     8,    9, percent, False       ,                ,          1,               5, Lil' Kim
     8,   10, percent, False       ,                ,          1,               4, Ty Murray
     8,   11, percent, False       ,                ,          0,               3, 
     8,    1, percent, True        ,                ,          0,              13, 
     8,    2, percent, True        ,                ,          1,              13, Belinda Carlisle
     8,    3, percent, True        ,                ,          1,              12, Steve Wozniak
     8,    4, percent, True        ,                ,          2,              11, Denise Richards; Holly Madison
     8,    5, percent, True        ,                ,          1,               9, Steve-O
     8,    6, percent, True        ,                ,          1,               8, David Alan Grier
     8,    7, percent, True        ,                ,          1,               7, Lawrence Taylor
     8,    8, percent, True        ,                ,          1,               6, Chuck Wicks
     8,    9, percent, True        ,                ,          1,               5, Ty Murray
     8,   10, percent, True        ,                ,          1,               4, Lil' Kim
     8,   11, percent, True        ,                ,          0,               3, 
     8,    1, rank   , False       , min            ,          0,              13, 
     8,    2, rank   , False       , min            ,          1,              13, Belinda Carlisle
     8,    3, rank   , False       , min            ,          1,              12, Denise Richards
     8,    4, rank   , False       , min            ,          2,              11, Steve Wozniak; Holly Madison
     8,    5, rank   , False       , min            ,          1,               9, Steve-O
     8,    6, rank   , False       , min            ,          1,               8, Lawrence Taylor
     8,    7, rank   , False       , min            ,          1,               7, David Alan Grier
     8,    8, rank   , False       , min            ,          1,               6, Chuck Wicks
     8,    9, rank   , False       , min            ,          1,               5, Lil' Kim
     8,   10, rank   , False       , min            ,          1,               4, Ty Murray
     8,   11, rank   , False       , min            ,          0,               3, 
     8,    1, rank   , True        , min            ,          0,              13, 
     8,    2, rank   , True        , min            ,          1,              13, David Alan Grier
     8,    3, rank   , True        , min            ,          1,              12, Steve Wozniak
     8,    4, rank   , True        , min            ,          2,              11, Belinda Carlisle; Denise Richards
     8,    5, rank   , True        , min            ,          1,               9, Holly Madison
     8,    6, rank   , True        , min            ,          1,               8, Steve-O
     8,    7, rank   , True        , min            ,          1,               7, Lawrence Taylor
     8,    8, rank   , True        , min            ,          1,               6, Chuck Wicks
     8,    9, rank   , True        , min            ,          1,               5, Ty Murray
     8,   10, rank   , True        , min            ,          1,               4, Lil' Kim
     8,   11, rank   , True        , min            ,          0,               3, 
     8,    1, rank   , False       , average        ,          0,              13, 
     8,    2, rank   , False       , average        ,          1,              13, Belinda Carlisle
     8,    3, rank   , False       , average        ,          1,              12, Denise Richards
     8,    4, rank   , False       , average        ,          2,              11, Steve Wozniak; Holly Madison
     8,    5, rank   , False       , average        ,          1,               9, Steve-O
     8,    6, rank   , False       , average        ,          1,               8, Lawrence Taylor
     8,    7, rank   , False       , average        ,          1,               7, David Alan Grier
     8,    8, rank   , False       , average        ,          1,               6, Chuck Wicks
     8,    9, rank   , False       , average        ,          1,               5, Lil' Kim
     8,   10, rank   , False       , average        ,          1,               4, Ty Murray
     8,   11, rank   , False       , average        ,          0,               3, 
     8,    1, rank   , True        , average        ,          0,              13, 
     8,    2, rank   , True        , average        ,          1,              13, David Alan Grier
     8,    3, rank   , True        , average        ,          1,              12, Steve Wozniak
     8,    4, rank   , True        , average        ,          2,              11, Belinda Carlisle; Denise Richards
     8,    5, rank   , True        , average        ,          1,               9, Holly Madison
     8,    6, rank   , True        , average        ,          1,               8, Steve-O
     8,    7, rank   , True        , average        ,          1,               7, Lawrence Taylor
     8,    8, rank   , True        , average        ,          1,               6, Chuck Wicks
     8,    9, rank   , True        , average        ,          1,               5, Ty Murray
     8,   10, rank   , True        , average        ,          1,               4, Lil' Kim
     8,   11, rank   , True        , average        ,          0,               3, 
     9,    1, percent, False       ,                ,          2,              16, Macy Gray; Ashley Hamiliton
     9,    2, percent, False       ,                ,          1,              14, Kathy Ireland
     9,    3, percent, False       ,                ,          1,              13, Debi Mazar
     9,    4, percent, False       ,                ,          1,              12, Chuck Liddell
     9,    5, percent, False       ,                ,          1,              11, Tom DeLay
     9,    6, percent, False       ,                ,          2,              10, Natalie Coughlin; Melissa Joan Hart
     9,    7, percent, False       ,                ,          2,               8, Louie Vito; Mark Dacascos
     9,    8, percent, False       ,                ,          1,               6, Michael Irvin
     9,    9, percent, False       ,                ,          1,               5, Aaron Carter
