season,era_label,week,celebrity_name,industry_cluster,celebrity_age_during_season,judge_score_raw,judge_share,judge_rank,is_elimination_week,is_finalist
3,Percentage Era (S3-S27),1,Jerry Springer             ,Reality Star,62,16.0,0.07547169811320754,9.0,False,False
3,Percentage Era (S3-S27),1,Sara Evans                 ,Musician,35,15.0,0.07075471698113207,10.0,False,False
3,Percentage Era (S3-S27),1,Tucker Carlson             ,Reality Star,37,12.0,0.05660377358490566,11.0,True,False
3,Percentage Era (S3-S27),2,Joey Lawrence              ,Actor/Actress,30,29.0,0.12608695652173912,1.0,False,True
3,Percentage Era (S3-S27),2,Monique Coleman            ,Actor/Actress,25,26.0,0.11304347826086956,2.0,False,False
3,Percentage Era (S3-S27),2,Vivica A. Fox              ,Actor/Actress,42,24.0,0.10434782608695652,3.0,False,False
3,Percentage Era (S3-S27),2,Emmitt Smith               ,Athlete,37,24.0,0.10434782608695652,3.0,False,False
3,Percentage Era (S3-S27),2,Willa Ford                 ,Musician,25,23.0,0.1,5.0,False,False
3,Percentage Era (S3-S27),2,Shanna Moakler             ,Other,31,22.0,0.09565217391304348,6.0,True,False
3,Percentage Era (S3-S27),2,Harry Hamlin               ,Actor/Actress,54,21.0,0.09130434782608696,7.0,False,False
3,Percentage Era (S3-S27),2,Mario Lopez                ,Actor/Actress,32,21.0,0.09130434782608696,7.0,False,False
3,Percentage Era (S3-S27),2,Sara Evans                 ,Musician,35,21.0,0.09130434782608696,7.0,False,False
3,Percentage Era (S3-S27),2,Jerry Springer             ,Reality Star,62,19.0,0.08260869565217391,10.0,False,False
3,Percentage Era (S3-S27),3,Vivica A. Fox              ,Actor/Actress,42,27.0,0.13043478260869565,1.0,False,False
3,Percentage Era (S3-S27),3,Monique Coleman            ,Actor/Actress,25,27.0,0.13043478260869565,1.0,False,False
3,Percentage Era (S3-S27),3,Sara Evans                 ,Musician,35,25.0,0.12077294685990338,3.0,False,False
3,Percentage Era (S3-S27),3,Harry Hamlin               ,Actor/Actress,54,22.0,0.10628019323671498,4.0,True,False
3,Percentage Era (S3-S27),3,Joey Lawrence              ,Actor/Actress,30,22.0,0.10628019323671498,4.0,False,True
3,Percentage Era (S3-S27),3,Mario Lopez                ,Actor/Actress,32,22.0,0.10628019323671498,4.0,False,False
3,Percentage Era (S3-S27),3,Willa Ford                 ,Musician,25,22.0,0.10628019323671498,4.0,False,False
3,Percentage Era (S3-S27),3,Jerry Springer             ,Reality Star,62,21.0,0.10144927536231885,8.0,False,False
3,Percentage Era (S3-S27),3,Emmitt Smith               ,Athlete,37,19.0,0.09178743961352658,9.0,False,False
3,Percentage Era (S3-S27),4,Mario Lopez                ,Actor/Actress,32,29.0,0.14646464646464646,1.0,False,False
3,Percentage Era (S3-S27),4,Willa Ford                 ,Musician,25,28.0,0.1414141414141414,2.0,False,False
3,Percentage Era (S3-S27),4,Joey Lawrence              ,Actor/Actress,30,27.0,0.13636363636363635,3.0,False,True
3,Percentage Era (S3-S27),4,Vivica A. Fox              ,Actor/Actress,42,24.0,0.12121212121212122,4.0,True,False
3,Percentage Era (S3-S27),4,Monique Coleman            ,Actor/Actress,25,24.0,0.12121212121212122,4.0,False,False
3,Percentage Era (S3-S27),4,Emmitt Smith               ,Athlete,37,24.0,0.12121212121212122,4.0,False,False
3,Percentage Era (S3-S27),4,Jerry Springer             ,Reality Star,62,22.0,0.1111111111111111,7.0,False,False
3,Percentage Era (S3-S27),4,Sara Evans                 ,Musician,35,20.0,0.10101010101010101,8.0,False,False
3,Percentage Era (S3-S27),5,Monique Coleman            ,Actor/Actress,25,27.0,0.14917127071823205,1.0,False,False
3,Percentage Era (S3-S27),5,Mario Lopez                ,Actor/Actress,32,27.0,0.14917127071823205,1.0,False,False
3,Percentage Era (S3-S27),5,Emmitt Smith               ,Athlete,37,27.0,0.14917127071823205,1.0,False,False
3,Percentage Era (S3-S27),5,Willa Ford                 ,Musician,25,27.0,0.14917127071823205,1.0,True,False
3,Percentage Era (S3-S27),5,Joey Lawrence              ,Actor/Actress,30,25.0,0.13812154696132597,5.0,False,True
3,Percentage Era (S3-S27),5,Sara Evans                 ,Musician,35,24.0,0.13259668508287292,6.0,True,False
3,Percentage Era (S3-S27),5,Jerry Springer             ,Reality Star,62,24.0,0.13259668508287292,6.0,False,False
3,Percentage Era (S3-S27),6,Mario Lopez                ,Actor/Actress,32,28.0,0.23728813559322035,1.0,False,False
3,Percentage Era (S3-S27),6,Emmitt Smith               ,Athlete,37,25.0,0.211864406779661,2.0,False,False
3,Percentage Era (S3-S27),6,Joey Lawrence              ,Actor/Actress,30,24.0,0.2033898305084746,3.0,False,True
3,Percentage Era (S3-S27),6,Monique Coleman            ,Actor/Actress,25,23.0,0.19491525423728814,4.0,False,False
3,Percentage Era (S3-S27),6,Jerry Springer             ,Reality Star,62,18.0,0.15254237288135594,5.0,False,False
3,Percentage Era (S3-S27),7,Joey Lawrence              ,Actor/Actress,30,28.5,0.2111111111111111,1.0,False,True
3,Percentage Era (S3-S27),7,Emmitt Smith               ,Athlete,37,28.5,0.2111111111111111,1.0,False,False
3,Percentage Era (S3-S27),7,Mario Lopez                ,Actor/Actress,32,28.0,0.2074074074074074,3.0,False,False
3,Percentage Era (S3-S27),7,Monique Coleman            ,Actor/Actress,25,27.0,0.2,4.0,False,False
3,Percentage Era (S3-S27),7,Jerry Springer             ,Reality Star,62,23.0,0.17037037037037037,5.0,True,False
3,Percentage Era (S3-S27),8,Mario Lopez                ,Actor/Actress,32,28.5,0.26146788990825687,1.0,False,False
3,Percentage Era (S3-S27),8,Joey Lawrence              ,Actor/Actress,30,27.0,0.24770642201834864,2.0,False,True
3,Percentage Era (S3-S27),8,Emmitt Smith               ,Athlete,37,27.0,0.24770642201834864,2.0,False,False
3,Percentage Era (S3-S27),8,Monique Coleman            ,Actor/Actress,25,26.5,0.24311926605504589,4.0,True,False
3,Percentage Era (S3-S27),9,Joey Lawrence              ,Actor/Actress,30,29.5,0.3333333333333333,1.0,False,True
3,Percentage Era (S3-S27),9,Mario Lopez                ,Actor/Actress,32,29.5,0.3333333333333333,1.0,False,False
3,Percentage Era (S3-S27),9,Emmitt Smith               ,Athlete,37,29.5,0.3333333333333333,1.0,False,False
3,Percentage Era (S3-S27),10,Mario Lopez                ,Actor/Actress,32,29.666600000000003,0.5,1.0,True,False
3,Percentage Era (S3-S27),10,Emmitt Smith               ,Athlete,37,29.666600000000003,0.5,1.0,True,False
4,Percentage Era (S3-S27),1,Joey Fatone                ,Musician,30,24.0,0.11650485436893204,1.0,False,False
4,Percentage Era (S3-S27),1,Laila Ali                  ,Athlete,29,23.0,0.11165048543689321,2.0,False,True
4,Percentage Era (S3-S27),1,Ian Ziering                ,Actor/Actress,42,21.0,0.10194174757281553,3.0,False,False
4,Percentage Era (S3-S27),1,Apolo Anton Ohno           ,Athlete,24,21.0,0.10194174757281553,3.0,False,False
4,Percentage Era (S3-S27),1,Shandi Finnessey           ,Other,28,19.0,0.09223300970873786,5.0,False,False
4,Percentage Era (S3-S27),1,Paulina Porizkova          ,Other,41,19.0,0.09223300970873786,5.0,False,False
4,Percentage Era (S3-S27),1,Heather Mills              ,Other,39,18.0,0.08737864077669903,7.0,False,False
4,Percentage Era (S3-S27),1,John Ratzenberger          ,Actor/Actress,59,17.0,0.0825242718446602,8.0,False,False
4,Percentage Era (S3-S27),1,Clyde Drexler              ,Athlete,44,16.0,0.07766990291262135,9.0,False,False
4,Percentage Era (S3-S27),1,Leeza Gibbons              ,Reality Star,50,15.0,0.07281553398058252,10.0,False,False
4,Percentage Era (S3-S27),1,Billy Ray Cyrus            ,Musician,45,13.0,0.06310679611650485,11.0,False,False
4,Percentage Era (S3-S27),2,Laila Ali                  ,Athlete,29,27.0,0.11020408163265306,1.0,False,True
4,Percentage Era (S3-S27),2,Apolo Anton Ohno           ,Athlete,24,26.0,0.10612244897959183,2.0,False,False
4,Percentage Era (S3-S27),2,Heather Mills              ,Other,39,24.0,0.09795918367346938,3.0,False,False
4,Percentage Era (S3-S27),2,Joey Fatone                ,Musician,30,24.0,0.09795918367346938,3.0,False,False
4,Percentage Era (S3-S27),2,Ian Ziering                ,Actor/Actress,42,22.0,0.08979591836734693,5.0,False,False
4,Percentage Era (S3-S27),2,John Ratzenberger          ,Actor/Actress,59,21.0,0.08571428571428572,6.0,False,False
4,Percentage Era (S3-S27),2,Paulina Porizkova          ,Other,41,21.0,0.08571428571428572,6.0,True,False
4,Percentage Era (S3-S27),2,Billy Ray Cyrus            ,Musician,45,21.0,0.08571428571428572,6.0,False,False
4,Percentage Era (S3-S27),2,Leeza Gibbons              ,Reality Star,50,21.0,0.08571428571428572,6.0,False,False
4,Percentage Era (S3-S27),2,Shandi Finnessey           ,Other,28,20.0,0.08163265306122448,10.0,False,False
4,Percentage Era (S3-S27),2,Clyde Drexler              ,Athlete,44,18.0,0.07346938775510205,11.0,False,False
4,Percentage Era (S3-S27),3,Ian Ziering                ,Actor/Actress,42,24.0,0.11009174311926606,1.0,False,False
4,Percentage Era (S3-S27),3,Heather Mills              ,Other,39,24.0,0.11009174311926606,1.0,False,False
4,Percentage Era (S3-S27),3,Joey Fatone                ,Musician,30,24.0,0.11009174311926606,1.0,False,False
4,Percentage Era (S3-S27),3,Leeza Gibbons              ,Reality Star,50,24.0,0.11009174311926606,1.0,False,False
4,Percentage Era (S3-S27),3,Apolo Anton Ohno           ,Athlete,24,23.0,0.10550458715596331,5.0,False,False
4,Percentage Era (S3-S27),3,Laila Ali                  ,Athlete,29,21.0,0.0963302752293578,6.0,False,True
4,Percentage Era (S3-S27),3,Shandi Finnessey           ,Other,28,21.0,0.0963302752293578,6.0,True,False
4,Percentage Era (S3-S27),3,Billy Ray Cyrus            ,Musician,45,21.0,0.0963302752293578,6.0,False,False
4,Percentage Era (S3-S27),3,John Ratzenberger          ,Actor/Actress,59,20.0,0.09174311926605505,9.0,False,False
4,Percentage Era (S3-S27),3,Clyde Drexler              ,Athlete,44,16.0,0.07339449541284404,10.0,False,False
4,Percentage Era (S3-S27),4,Joey Fatone                ,Musician,30,28.0,0.14736842105263157,1.0,False,False
4,Percentage Era (S3-S27),4,Apolo Anton Ohno           ,Athlete,24,26.0,0.1368421052631579,2.0,False,False
4,Percentage Era (S3-S27),4,Ian Ziering                ,Actor/Actress,42,24.0,0.12631578947368421,3.0,False,False
4,Percentage Era (S3-S27),4,Heather Mills              ,Other,39,23.0,0.12105263157894737,4.0,False,False
4,Percentage Era (S3-S27),4,Laila Ali                  ,Athlete,29,21.0,0.11052631578947368,5.0,False,True
4,Percentage Era (S3-S27),4,Billy Ray Cyrus            ,Musician,45,21.0,0.11052631578947368,5.0,False,False
4,Percentage Era (S3-S27),4,John Ratzenberger          ,Actor/Actress,59,16.0,0.08421052631578947,7.0,False,False
4,Percentage Era (S3-S27),4,Leeza Gibbons              ,Reality Star,50,16.0,0.08421052631578947,7.0,True,False
4,Percentage Era (S3-S27),4,Clyde Drexler              ,Athlete,44,15.0,0.07894736842105263,9.0,False,False
4,Percentage Era (S3-S27),5,Apolo Anton Ohno           ,Athlete,24,30.0,0.17045454545454544,1.0,False,False
4,Percentage Era (S3-S27),5,Laila Ali                  ,Athlete,29,28.0,0.1590909090909091,2.0,False,True
4,Percentage Era (S3-S27),5,Joey Fatone                ,Musician,30,25.0,0.14204545454545456,3.0,False,False
4,Percentage Era (S3-S27),5,Ian Ziering                ,Actor/Actress,42,24.0,0.13636363636363635,4.0,False,False
4,Percentage Era (S3-S27),5,Heather Mills              ,Other,39,21.0,0.11931818181818182,5.0,False,False
4,Percentage Era (S3-S27),5,John Ratzenberger          ,Actor/Actress,59,18.0,0.10227272727272728,6.0,False,False
4,Percentage Era (S3-S27),5,Billy Ray Cyrus            ,Musician,45,17.0,0.09659090909090909,7.0,False,False
4,Percentage Era (S3-S27),5,Clyde Drexler              ,Athlete,44,13.0,0.07386363636363637,8.0,True,False
4,Percentage Era (S3-S27),6,Laila Ali                  ,Athlete,29,28.0,0.16470588235294117,1.0,False,True
4,Percentage Era (S3-S27),6,Apolo Anton Ohno           ,Athlete,24,28.0,0.16470588235294117,1.0,False,False
4,Percentage Era (S3-S27),6,Joey Fatone                ,Musician,30,27.0,0.1588235294117647,3.0,False,False
4,Percentage Era (S3-S27),6,Ian Ziering                ,Actor/Actress,42,24.0,0.1411764705882353,4.0,False,False
4,Percentage Era (S3-S27),6,Heather Mills              ,Other,39,23.0,0.13529411764705881,5.0,True,False
4,Percentage Era (S3-S27),6,Billy Ray Cyrus            ,Musician,45,21.0,0.12352941176470589,6.0,False,False
4,Percentage Era (S3-S27),6,John Ratzenberger          ,Actor/Actress,59,19.0,0.11176470588235295,7.0,False,False
4,Percentage Era (S3-S27),7,Laila Ali                  ,Athlete,29,29.5,0.19093851132686085,1.0,False,True
4,Percentage Era (S3-S27),7,Joey Fatone                ,Musician,30,29.5,0.19093851132686085,1.0,False,False
4,Percentage Era (S3-S27),7,Ian Ziering                ,Actor/Actress,42,27.0,0.17475728155339806,3.0,False,False
4,Percentage Era (S3-S27),7,Apolo Anton Ohno           ,Athlete,24,27.0,0.17475728155339806,3.0,False,False
4,Percentage Era (S3-S27),7,John Ratzenberger          ,Actor/Actress,59,22.5,0.14563106796116504,5.0,True,False
4,Percentage Era (S3-S27),7,Billy Ray Cyrus            ,Musician,45,19.0,0.12297734627831715,6.0,False,False
4,Percentage Era (S3-S27),8,Apolo Anton Ohno           ,Athlete,24,29.0,0.23107569721115537,1.0,False,False
4,Percentage Era (S3-S27),8,Joey Fatone                ,Musician,30,27.5,0.21912350597609562,2.0,False,False
4,Percentage Era (S3-S27),8,Laila Ali                  ,Athlete,29,26.5,0.21115537848605578,3.0,False,True
4,Percentage Era (S3-S27),8,Ian Ziering                ,Actor/Actress,42,23.5,0.18725099601593626,4.0,False,False
4,Percentage Era (S3-S27),8,Billy Ray Cyrus            ,Musician,45,19.0,0.15139442231075698,5.0,True,False
4,Percentage Era (S3-S27),9,Laila Ali                  ,Athlete,29,30.0,0.25316455696202533,1.0,False,True
4,Percentage Era (S3-S27),9,Joey Fatone                ,Musician,30,30.0,0.25316455696202533,1.0,False,False
4,Percentage Era (S3-S27),9,Apolo Anton Ohno           ,Athlete,24,29.5,0.2489451476793249,3.0,False,False
4,Percentage Era (S3-S27),9,Ian Ziering                ,Actor/Actress,42,29.0,0.24472573839662448,4.0,True,False
4,Percentage Era (S3-S27),10,Apolo Anton Ohno           ,Athlete,24,29.3332,0.33976850076853665,1.0,True,False
4,Percentage Era (S3-S27),10,Joey Fatone                ,Musician,30,28.6665,0.3320460681848982,2.0,True,False
4,Percentage Era (S3-S27),10,Laila Ali                  ,Athlete,29,28.333200000000005,0.3281854310465651,3.0,False,True
5,Percentage Era (S3-S27),1,Sabrina Bryan              ,Actor/Actress,23,26.0,0.10116731517509728,1.0,False,False
5,Percentage Era (S3-S27),1,Helio Castroneves          ,Other,32,25.0,0.09727626459143969,2.0,False,False
5,Percentage Era (S3-S27),1,Jane Seymour               ,Actor/Actress,56,24.0,0.0933852140077821,3.0,False,False
5,Percentage Era (S3-S27),1,Mel B                      ,Musician,32,24.0,0.0933852140077821,3.0,False,False
5,Percentage Era (S3-S27),1,Cameron Mathison           ,Actor/Actress,38,21.0,0.08171206225680934,5.0,False,False
5,Percentage Era (S3-S27),1,Jennie Garth               ,Actor/Actress,35,21.0,0.08171206225680934,5.0,False,False
5,Percentage Era (S3-S27),1,Albert Reed                ,Other,22,21.0,0.08171206225680934,5.0,False,False
5,Percentage Era (S3-S27),1,Marie Osmond               ,Musician,47,21.0,0.08171206225680934,5.0,False,True
5,Percentage Era (S3-S27),1,Mark Cuban                 ,Reality Star,49,21.0,0.08171206225680934,5.0,False,False
5,Percentage Era (S3-S27),1,Wayne Newton               ,Musician,65,19.0,0.07392996108949416,10.0,False,False
5,Percentage Era (S3-S27),1,Floyd Mayweather Jr.       ,Athlete,30,18.0,0.07003891050583658,11.0,False,False
5,Percentage Era (S3-S27),1,Josie Maran                ,Other,29,16.0,0.0622568093385214,12.0,True,False
5,Percentage Era (S3-S27),2,Helio Castroneves          ,Other,32,27.0,0.1134453781512605,1.0,False,False
5,Percentage Era (S3-S27),2,Sabrina Bryan              ,Actor/Actress,23,26.0,0.1092436974789916,2.0,False,False
5,Percentage Era (S3-S27),2,Marie Osmond               ,Musician,47,24.0,0.10084033613445378,3.0,False,True
5,Percentage Era (S3-S27),2,Mel B                      ,Musician,32,23.0,0.09663865546218488,4.0,False,False
5,Percentage Era (S3-S27),2,Cameron Mathison           ,Actor/Actress,38,21.0,0.08823529411764706,5.0,False,False
5,Percentage Era (S3-S27),2,Jane Seymour               ,Actor/Actress,56,21.0,0.08823529411764706,5.0,False,False
5,Percentage Era (S3-S27),2,Jennie Garth               ,Actor/Actress,35,21.0,0.08823529411764706,5.0,False,False
5,Percentage Era (S3-S27),2,Floyd Mayweather Jr.       ,Athlete,30,21.0,0.08823529411764706,5.0,False,False
5,Percentage Era (S3-S27),2,Albert Reed                ,Other,22,21.0,0.08823529411764706,5.0,True,False
5,Percentage Era (S3-S27),2,Mark Cuban                 ,Reality Star,49,18.0,0.07563025210084033,10.0,False,False
5,Percentage Era (S3-S27),2,Wayne Newton               ,Musician,65,15.0,0.06302521008403361,11.0,False,False
5,Percentage Era (S3-S27),3,Jane Seymour               ,Actor/Actress,56,27.0,0.11297071129707113,1.0,False,False
5,Percentage Era (S3-S27),3,Sabrina Bryan              ,Actor/Actress,23,27.0,0.11297071129707113,1.0,False,False
5,Percentage Era (S3-S27),3,Mel B                      ,Musician,32,27.0,0.11297071129707113,1.0,False,False
5,Percentage Era (S3-S27),3,Jennie Garth               ,Actor/Actress,35,26.0,0.1087866108786611,4.0,False,False
5,Percentage Era (S3-S27),3,Marie Osmond               ,Musician,47,26.0,0.1087866108786611,4.0,False,True
5,Percentage Era (S3-S27),3,Helio Castroneves          ,Other,32,24.0,0.100418410041841,6.0,False,False
5,Percentage Era (S3-S27),3,Cameron Mathison           ,Actor/Actress,38,23.0,0.09623430962343096,7.0,False,False
5,Percentage Era (S3-S27),3,Floyd Mayweather Jr.       ,Athlete,30,21.0,0.08786610878661087,8.0,False,False
